title,authors,year,doi,journal,abstract,cited_by_count,type,open_access,url,openalex_id,assessment_tasks
Comparative Study on (Non-)Destructive Techniques for On-Site Strength and Durability Assessment of Limestone Based Concrete Slabs,Bart Craeye; D. van Keijzerswaard; Patricia Kara De Maeijer,2020,10.23967/dbmc.2020.022,XV International Conference on Durability of Building Materials and Components. eBook of Proceedings,"For rehabilitation of existing concrete structures, strength and durability related properties of the reinforced element are of high importance. Assessment of these properties of existing structures can be performed by (i) destructive testing of drilled cores and testing the extracted samples in lab environment and (ii) indirect methods by using non- or semi-destructive techniques on site. The use of core-drilling is a time-consuming and labour-intensive method that weakens the existing concrete structure, leaving a lasting impression on it. As an alternative, many different non and semi-destructive techniques are available for the in-situ determination of compressive strength and durability related properties. An experimental program is conducted on concrete slabs of different strength classes intended for various exposure classes (according to EN206), based on a limestone aggregate matrix, which is typically used for Belgian applications. The plates have an age of approximately 5 years, which were also characterized at younger stage (in 2014). Besides destructive core drilling and testing (compressive strength tests, chloride migration testing, and determination of carbonation rate), several non-destructive techniques were selected for this study: the rebound hammer, the ultrasonic pulse velocity tester, the Wenner probe for concrete resistivity and the air permeability tester. Best fit correlations between the output of these different techniques were established. The effect of age (e.g. carbonation) on the established predictive models is being evaluated.",1,article,True,https://doi.org/10.23967/dbmc.2020.022,https://openalex.org/W3087725406,"Tasks: strength, deterioration"
Applications of Non-Destructive Techniques in the study of a Caribbean historic timber house,Virginia Flores Sasso; Esteban Prieto Vicioso; Gabriela Fernandez Flores; Raquel Carreras Rivery,2020,10.1088/1757-899x/949/1/012028,IOP Conference Series Materials Science and Engineering,"Abstract The aims of this research is to analysis a Caribbean historic timber house using nondestructive techniques (NDT). The high cultural and historic value that have the timber buildings in the Caribbean and the necessity to preserve them as intact as possible, make NDTs to gain importance at the moment to selected the method to preserver and assess a historical structures in order to survive damages arising from several reasons including damaged by time. The selected techniques concern the measurement of some physical/mechanical properties and condition. The NDT analyses have been grouped under four major: visual inspection, optical, ultrasound, and electromagnetic. For analysis was used: Rinntech Resistograph model R650-ED, FLIR System model T420 for Infrared thermography (IRT), ARBOTOM for tomography, Electrical Resistance Measuring (ERM) with DELMHORST BD-2100 pin moisture meter (Protimeter) and MASTERGRIP Digital Thermometer with Laser for superficial temperature. These techniques can be applied “in situ”, without destroying the heritage and do not require to take big samples. Also, are the most appropriate tool for the evaluation the structure, materials and decorative elements of Cultural heritage.",1,article,True,https://doi.org/10.1088/1757-899x/949/1/012028,https://openalex.org/W3099966515,Tasks: moisture
Wireless crack detection of a concrete building using low-cost RFID tags,Pierre Fils; Shinae Jang,2020,10.1117/12.2556764,,"Our aging infrastructure has high safety concerns due to increasing extreme weather events. Over time small damages in these structures may develop into catastrophic failure and therefore need to be monitored closely. Non-destructive evaluation techniques have been developed and achieve acceptable reliability in such damage identification. However, the high implementation cost dissuades bridge owners leaving visual inspections as the default technique. In this study, field implementation of low-cost Radio Frequency Identification (RFID)-based crack sensors for reinforced concrete buildings is provided. Commercially available low cost RFID tags were used for passive sensors on different extents of cracks, received powers were monitored in the field using new measurement methods (MM) to simulate a more controlled environment for improving accuracy and consistency of crack detection.",0,article,False,https://doi.org/10.1117/12.2556764,https://openalex.org/W3019059256,Tasks: defects
Effect of Adding Carbon Nanotubes on Corrosion Rates and Steel-Concrete Bond,Ahmed M. Hassan; Hala Elkady; Ibrahim G. Shaaban,2019,10.1038/s41598-019-42761-2,Scientific Reports,"Abstract This paper presents a continuation of the evaluation of utilizing Nano Carbon Tubes (CNTs) in reinforced concrete (CNT-CRETE). The compressive, tensile and bond strengths of the samples with and without CNTs were investigated. Scanning Electron Microscope (SME) was utilized to study the microstructure of the prepared samples. In addition, the corrosion resistance of CNT-CRETE, was measured and compared to traditional concrete. Four mixes were prepared, with 0.01%, 0.02%, and 0.03%, CNTs by weight of cement, along with a control mix without CNTs. The results of the experimental work showed that adding CNTs led to an increase in the compressive, tensile and bond strengths of specimens compared to those of the control specimen. SEM examination for control and CNTs specimens showed that CNTs specimen were well structured compared with the control specimen and this affirms that CNTs act as bridges across micro cracks, which explains the improvement in mechanical properties. The diameter of steel bars played a significant role in failure mechanism for pull-out testing and corrosion resistance. In general, adding CNTs to the concrete mix increased the rate of corrosion for steel bars within the low risk limits. Benefits from using CNTs were limited to moderate. Mineral/chemical admixtures or fibers provide better improvements in the mechanical properties of concrete without the problems associated with dispersing CNTs and the health hazard of handling a Nano material.",73,article,True,https://doi.org/10.1038/s41598-019-42761-2,https://openalex.org/W2939220699,Tasks: deterioration
Influence of cellulose fiber addition on self-healing and water permeability of concrete,Harshbab Singh; Rishi Gupta,2019,10.1016/j.cscm.2019.e00324,Case Studies in Construction Materials,"Crack formation under tensile forces is a major weakness of concrete. Cracks make concrete vulnerable to extreme environment due to ingress of water and harmful compounds from surrounding environment. Even though concrete is susceptible to cracking it has ability to seal its crack by itself to some extent due to autogenous self-healing. So far only few studies have been done on autogenous healing of fiber reinforced concrete. So, this study aims to evaluate the self-healing potential and water permeability of cellulose fiber reinforced concrete (CeFRC). The two types of composites; control and cellulose fiber reinforced concrete have been investigated. Compressive strength and flexural tests were performed to measure the mechanical properties of the composites, water permeability and the self-healing performance was investigated by using ultrasonic pulse velocity (UPV) and a patented self-healing test. The results indicate that the water permeability coefficient decreased by 42% whereas the healing ratio increased at a higher rate for the initial days of healing when cellulose fibers were added in the mix. CeFRC also results in a 7.8% increase in the flexural strength and demonstrate a higher self-healing ratio based on the UPV test.",73,article,True,https://doi.org/10.1016/j.cscm.2019.e00324,https://openalex.org/W2995095329,Tasks: strength
Early Crack Detection of Reinforced Concrete Structure Using Embedded Sensors,Joyraj Chakraborty; Andrzej Katunin; Piotr Klikowicz; Marek Salamak,2019,10.3390/s19183879,Sensors,"The damage in reinforced concrete (RC) structures can be induced either by the dynamic or static load. The inspection technologies available today have difficulty in detecting slowly progressive, locally limited damage, especially in hard-to-reach areas in the superstructure. The four-point bending test on the benchmark RC structure was used as a test of the quality and sensitivity of the embedded sensors. It allowed assessment of whether any cracking and propagation that occurs with the embedded sensors can be detected. Various methods are used for the analysis of the ultrasonic signals. By determining the feature from the ultrasonic signals, the changes in the whole structure are evaluated. The structural degradation of the RC benchmark structure was tested using various non-destructive testing methods to obtain a comprehensive decision about structural condition. It is shown that the ultrasonic sensors can detect a crack with a probability of detection of 100%, also before it is visible by the naked eye and other techniques, even if the damage is not in the direct path of the ultrasonic wave. The obtained results confirmed that early crack detection is possible using the developed methodology based on embedded and external sensors and advanced signal processing.",69,article,True,https://doi.org/10.3390/s19183879,https://openalex.org/W2972023353,Tasks: defects
Applicability of GPR and a rebar detector to obtain rebar information of existing concrete structures,Harsh Rathod; Scott Debeck; Rishi Gupta; Brian G. Chow,2019,10.1016/j.cscm.2019.e00240,Case Studies in Construction Materials,"Much of Canada’s existing infrastructure was constructed during 1950s, 1960s and 1970s. These include all transportation infrastructures such as bridges, highways, tunnels, etc. It is important to know the condition of these aging infrastructures in terms of their load carrying capacity to ensure their safety and serviceability. There are several old reinforced concrete slab bridges within the network of Ministry of Forests in B.C. Canada that have unknown rebar spacing, cover and diameter. This research paper discusses the application of Ground Penetrating Radar (GPR) and a Rebar detector in obtaining valuable information about rebar diameter, spacing and cover depth required to determine the structural capacity (load rating) of bridge decks. For this, GPR and the rebar detector have been applied on an existing bridge deck, a precast bridge girder and a reinforced concrete test slab panel available in the materials lab at the Facility for Innovative Materials and Infrastructure Monitoring (FIMIM) at the University of Victoria (UVic). To assess the applicability of GPR and Profoscope (Rebar Detector) in obtaining rebar information, the results obtained using both the techniques were compared in terms of their errors in determining all three parameters of rebar; diameter, spacing and cover depth. The results were validated by measuring the actual diameter, spacing and cover depth of the rebar in the reinforced concrete test slab available in the lab at UVic.",47,article,True,https://doi.org/10.1016/j.cscm.2019.e00240,https://openalex.org/W2947119946,Tasks: geometry
Quantitative Attribute Analyses with Ground Penetrating Radar for Infrastructure Assessments and Structural Health Monitoring,Isabel Morris; Hiba Abdel‐Jaber; Branko Glišić,2019,10.3390/s19071637,Sensors,"In civil structures and infrastructure, assessing true performance and characterizing unusual structural behaviors can help avoid severe structural problems. To further refine or validate the conclusions from structural health monitoring (SHM) analyses, nondestructive evaluation or techniques (NDE or NDT) can be applied in conjunction with SHM approaches. Ground penetrating radar (GPR) is an NDT that has been used to investigate defects and internal features in concrete structures, but is not commonly used to assess mechanical properties for the purposes of SHM. As a preliminary investigation of the effectiveness of attribute analysis techniques, a GPR survey was conducted on Streicker Bridge (a pedestrian bridge on Princeton University campus with embedded fiber-optic strain and temperature sensors). The bridge was constructed in two phases, where different curing conditions produced different material properties (compressive strength of 51 MPa and 59 MPa). Both standard processing techniques and attribute analysis techniques were employed to interpret GPR reflections in each phase of construction to identify construction elements and to compare the attribute signatures of different strength concretes.Though this study presents primarily relative differences, the sensitivity of these attributes to material property differences is confirmed. This validates SHM studies of the bridge and indicates the potential of the attribute analysis method for material characterization, especially as a compliment to other SHM and NDE techniques.",40,article,True,https://doi.org/10.3390/s19071637,https://openalex.org/W2928535876,Tasks: strength
Non-destructive data assimilation as a tool to diagnose corrosion rate in reinforced concrete structures,Olivier Anterrieu; Bernard Giroux; Erwan Gloaguen; Christophe Carde,2019,10.1016/j.jobe.2019.01.033,Journal of Building Engineering,"&lt;p&gt;La transcription des symboles et des caractères spéciaux utilisés dans la version originale de &#13;\nce résumé n’a pas été possible en raison de limitations techniques. La version correcte de ce &#13;\nrésumé peut être lue en PDF.&lt;/p&gt;&lt;p&gt;Reinforcement corrosion is a major problem in the long-term management of reinforced concrete structures. With sustainability in perspective, knowledge of the corrosion rate (Vcor) makes it possible to estimate the kinetics of the corrosion phenomenon and helps in refining the maintenance strategy of such structures. Although in situ Vcor measurements are possible, data acquisition is time-consuming because of the protocol intrinsic to its measurement (reinforcement polarization made point by point). Therefore, in the context of site diagnostics, these methods cannot reasonably be used systematically on site and must be combined with high performance non-destructive testing (NDT) surface methods (GPR, capacimetry, half-cell corrosion). In addition, depending on the case, Vcor (point measurements) and NDT(surface) data are statistically related. However, there is a lack of efficient data assimilation tools permitting accurate translation of NDT data into pseudo Vcor data. In this paper, we present a numerical tool allowing prediction of Vcor values from NDT measurements. The tool permits application of different data assimilation techniques, i.e., cokriging, Bayesian sequential simulation, and a decision tree-driven learning depending on statistical behavior and available data. The efficiency of our numerical tool has been tested on a dataset acquired on a structure located in the French Alps. Results show that, for the case study, our data assimilation tool allows prediction of Vcor with accuracy compared to in situ measurements and also permits one to infer the uncertainty of the prediction. This opens the door for quantitative use of multiple NDT in the management of reinforced concrete structures.&lt;/p&gt;",32,article,True,https://doi.org/10.1016/j.jobe.2019.01.033,https://openalex.org/W2912001378,Tasks: deterioration
Mechanical and Acoustic Emission Behavior of Gangue Concrete under Uniaxial Compression,Meng Xiao; Feng Ju; Pai Ning; Kaiyuan Li,2019,10.3390/ma12203318,Materials,"The application of gangue concrete can be an effective method to solve the massive gangue heap and shortage of raw materials of concrete by replacing the gravel and river sand with crushed gangue. An Acoustic emission (AE) is one of the non-destructive testing methods that can be used for damage detection of the gangue concrete structure. However, there are obvious mechanics differences between gangue and gravel/river sand, so the previous analysis methods of AE signal for concrete structure detection, mainly applied to ordinary concrete, are not suitable for gangue concrete. Based on this, the physical and mechanical characteristics of coal gangue were studied, and the uniaxial compressive test, along with AE monitoring of gangue concrete, was conducted in this paper. The differences in AE behavior between gangue concrete and ordinary concrete were also analyzed. The mechanical test result shows that the compressive strength of gangue concrete can reach 35–40 MPa. Comparing with ordinary concrete, gangue concrete has larger initial porosity and abrupt rupture. Additionally, the accumulative energy growth rate of gangue concrete has two peak values before the peak load, while ordinary concrete only has one. This difference can be used to forecast damage of gangue concrete structure by AE technology. This paper shows the possibility of making concrete by coal gangue, and the possibility of identifying its damage degree with the use of acoustic emission technology.",30,article,True,https://doi.org/10.3390/ma12203318,https://openalex.org/W2980056066,"Tasks: strength, defects"
Evaluation of Self-Compacting Concrete Strength with Non-Destructive Tests for Concrete Structures,Miguel Nepomuceno; Luís Filipe Almeida Bernardo,2019,10.3390/app9235109,Applied Sciences,"Self-compacting concrete (SCC) shows to have some specificities when compared to normal vibrated concrete (NVC), namely higher cement paste dosage and smaller volume of coarse aggregates. In addition, the maximum size of coarse aggregates is also reduced in SCC to prevent blocking effect. Such specificities are likely to affect the results of non-destructive tests when compared to those obtained in NVC with similar compressive strength and materials. This study evaluates the applicability of some non-destructive tests to estimate the compressive strength of SCC. Selected tests included the ultrasonic pulse velocity test (PUNDIT), the surface hardness test (Schmidt rebound hammer type N), the pull-out test (Lok-test), and the concrete maturity test (COMA-meter). Seven sets of SCC specimens were produced in the laboratory from a single mixture and subjected to standard curing. The tests were applied at different ages, namely: 1, 2, 3, 7, 14, 28, and 94 days. The concrete compressive strength ranged from 45 MPa (at 24 h) to 97 MPa (at 94 days). Correlations were established between the non-destructive test results and the concrete compressive strength. A test variability analysis was performed and the 95% confidence limits for the obtained correlations were computed. The obtained results for SCC showed good correlations between the concrete compressive strength and the non-destructive tests results, although some differences exist when compared to the correlations obtained for NVC.",29,article,True,https://doi.org/10.3390/app9235109,https://openalex.org/W2990142320,Tasks: strength
"Effect of Vietnamese Fly Ash on Selected Physical Properties, Durability and Probability of Corrosion of Steel in Concrete",Chinh Van Nguyen; Paul Lambert; Tran Quang Hung,2019,10.3390/ma12040593,Materials,"Vietnamese fly ash was used as a partial replacement for ordinary Portland cement in the proportions of 10%, 20% and 40%, while the water to cementitious ratios were kept constant at 0.42, 0.5 and 0.55, respectively, for three groups. The compressive strengths of all mixes were determined up to 90 days. The acid resistance of fly ash concrete was examined by the mass loss and compressive strength loss of 100 × 100 × 100 mm3 cubes immersed in a 10% H2SO4 solution. The probability of steel corrosion in the fly ash concrete was assessed by measuring the half-cell potentials of steel bars within beams dimensions of 100 × 100 × 500 mm3, and the flexural strengths of these beams after 300 days of immersion in a 5% NaCl solution were determined. The results demonstrate that the compressive strength of fly ash concrete is reduced at an early age but increases as the concrete continues to hydrate. The fly ash increases the sulfuric acid resistance of concrete. Fly ash additions have only a limited effect on reducing the risk of probability of corrosion of steel in the concrete. The load capacities of 10% and 20% fly ash reinforced concrete beams are higher than that of the control beams after 300 days immersed in a 5% NaCl solution.",29,article,True,https://doi.org/10.3390/ma12040593,https://openalex.org/W2911835568,Tasks: strength
Characteristic Curve and Its Use in Determining the Compressive Strength of Concrete by the Rebound Hammer Test,Dalibor Kocáb; Petr Misák; Petr Cikrle,2019,10.3390/ma12172705,Materials,"During the construction of concrete structures, it is often useful to know compressive strength at an early age. This is an amount of strength required for the safe removal of formwork, also known as stripping strength. It is certainly helpful to determine this strength non-destructively, i.e., without any invasive steps that would damage the structure. Second only to the ultrasonic pulse velocity test, the rebound hammer test is the most common NDT method currently used for this purpose. However, estimating compressive strength using general regression models can often yield inaccurate results. The experiment results show that the compressive strength of any concrete can be estimated using one’s own newly created regression model. A traditionally constructed regression model can predict the strength value with 50% reliability, or when two-sided confidence bands are used, with 95% reliability. However, civil engineers usually work with the so-called characteristic value defined as a 5% quantile. Therefore, it appears suitable to adjust conventional methods in order to achieve a regression model with 95% one-sided reliability. This paper describes a simple construction of such a characteristic curve. The results show that the characteristic curve created for the concrete in question could be a useful tool even outside of practical applications.",25,article,True,https://doi.org/10.3390/ma12172705,https://openalex.org/W2969665358,Tasks: strength
The Application of Lysinibacillus sphaericus for Surface Treatment and Crack Healing in Mortar,Christine Farrugia; Ruben Paul Borg; Liberato Ferrara; Joseph Buhagiar,2019,10.3389/fbuil.2019.00062,Frontiers in Built Environment,"Micro-cracks, which develop during the service life of reinforced concrete structures, reduce the durability of concrete through the penetration of fluids. Microbially-induced calcium carbonate precipitation (MICP) occurs naturally in the presence of ureolytic bacteria which precipitate calcium carbonate (CaCO3) through urea hydrolysis. This deposition leads to the filling of micro-cracks and sealing of pores, reducing ingress of fluids into the concrete. The research aims were to assess the potential of Lysinibacillus sphaericus for healing cracks in concrete and to study the effects of this treatment on the absorption properties of treated concrete. Lysinibacillus sphaericus was cultivated in vitro and induction of MICP through urea hydrolysis was tested on cement paste with two different calcium sources. The calcium precipitates where characterized by light microscopy, Scanning Electron Microscopy, Energy Dispersive Spectroscopy and Fourier Transform Infrared Spectroscopy. The final phase of the study involved testing of the crack healing capacity and the effect on absorption of the MICP process on mortar samples. These parameters were measured by means of visual examinations, light and digital microscopy, Ultrasonic Pulse Velocity (UPV), and absorption tests. The study confirmed that MICP is induced successfully on concrete using Lysinibacillus sphaericus. Samples exposed to repeated treatment cycles of Lysinibacillus sphaericus in the presence of a calcium source, exhibited a more extensive and even coating of CaCO3 crystals on the surface confirming that repeated cycles of treatment are more effective in increasing the amount of CaCO3 deposition and therefore increasing crack healing capacity. Digital microscopy and UPV analysis proved that this precipitate was successful in partially healing cracks in samples. Sorptivity tests confirmed this and showed that it was also successful as a surface treatment to reduce absorption.",23,article,True,https://doi.org/10.3389/fbuil.2019.00062,https://openalex.org/W2943773904,Tasks: deterioration
Non-Destructive Testing of Technical Conditions of RC Industrial Tall Chimneys Subjected to High Temperature,Marek Maj; Andrzej Ubysz; Hala Hammadeh; Farzat Askifi,2019,10.3390/ma12122027,Materials,"Non-destructive tests of reinforced concrete chimneys, especially high ones, are an important element in assessing their condition, making it possible to forecast their safe life. Industrial chimneys are often exposed to the strong action of acidic substances, They are negatively exposed to the condensation of the flue gases. Condensate affects the inside of the thermal insulation and penetrates the chimney wall from the outside. This is one reason for the corrosion of concrete and reinforcing steel. Wet thermal insulation settles, and drastically reduces its insulating properties. This leads to an increase in temperature in the reinforced concrete chimney wall and creates additional large variations in temperature fields. This consequently causes a large increase in internal forces, which mainly increase tensile and shear stresses. This results in the appearance of additional cracks in the wall. The acid condensate penetrates these cracks, destroying the concrete cover and reinforcement. Thermographic studies are very helpful in monitoring the changes in temperature and consequently, the risk of concrete and reinforcement corrosion. This simple implication between changes in temperature of the chimney wall and increasing inner forces as shown in this article is particularly important when the chimney cannot be switched off due to the nature of the production process. Methods for interpreting the results of thermovision tests are presented to determine the safety and durability of industrial chimneys.",21,article,True,https://doi.org/10.3390/ma12122027,https://openalex.org/W2950737325,Tasks: geometry
Pulse velocity–strength and elasticity relationship of high volume fly ash induced self-compacting concrete,Shashikant Kumar; Baboo Rai,2019,10.1080/24705314.2019.1657615,Journal of Structural Integrity and Maintenance,"Self-compacting concrete (SCC) represents one of the most outstanding advances in concrete technology during the last decade. The amount of SCC used for the structural purpose has strongly increased worldwide, and consequently, there is a need to assess the applicability of non-destructive testing techniques to survey SCC’s transient in situ mechanical properties. Information of the elastic behaviour of SCC is alluring if the behaviour of concrete structures is to be translated legitimately. Ultrasonic Pulse Velocity (UPV) method is a standout among the most prominent non-destructive techniques utilized in the appraisal of concrete properties. This paper deals with the investigation of the velocity–strength and elasticity relationship of high volume fly ash (HVFA) induced SCC. The relationship between UPV, static and dynamic Young’s modulus is analyzed. A new general simplified expression that allows estimation of compressive strength from UPV has been defined and is based on the ratio of dynamic modulus of elasticity to the static modulus of elasticity. The mathematical model has been validated by comparing predicted versus measured compressive strength.",17,article,False,https://doi.org/10.1080/24705314.2019.1657615,https://openalex.org/W2987762932,Tasks: strength
Nondestructive Corrosion Evaluation of Reinforced Concrete Bridge Decks with Overlays: An Experimental Study,Dewei Meng; Shibin Lin; Hoda Azari,2019,10.1520/jte20180388,Journal of Testing and Evaluation,"Abstract Concrete corrosion induced by deicing agents can decrease the durability of concrete bridge decks by causing cross-sectional loss of reinforcement, concrete delamination, and spalling owing to the expansion of corroded reinforcement. The installation of overlays can extend the service life of the deteriorated decks. However, overlays present challenges in the evaluation of the corrosion condition of the underlying decks. This laboratory study employed three nondestructive testing (NDT) methods to assess the effects of seven types of overlays on corrosion evaluation for concrete bridge decks. The NDT methods were electrical resistivity (ER), ground-penetrating radar (GPR), and half-cell potential (HCP). The ER method could not evaluate the corrosive environment in the concrete decks through the overlays. The GPR method could detect the corrosive environment through four of the seven overlays. The HCP method could detect the decrease of electrical potential over the actively corroded reinforcement for all seven specimens; however, only two of the seven specimens could be identified as having active corrosion per ASTM C876-15, Standard Test Method for Corrosion Potentials of Uncoated Reinforcing Steel in Concrete. Overlay debonding did not affect GPR and HCP testing results in this study.",16,article,False,https://doi.org/10.1520/jte20180388,https://openalex.org/W2943046327,Tasks: deterioration
Application of Thermal Image Data to Detect Rebar Corrosion in Concrete Structures,Seunguk Na; In-Kwan Paik,2019,10.3390/app9214700,Applied Sciences,"Rebar corrosion monitoring techniques have been used in studies involving embedded sensors that can detect changes in the corrosion currents and the polarization resistance of rebars in large structures. Defect detection methods that employ infrared cameras are useful non-destructive testing methods to detect defects in concrete structures. However, the measurement results from these methods would vary depending upon several factors that affect thermography. Because of these reasons, they have not been able to provide sufficient reliability. The goal of this study is to develop a technique that uses infrared cameras to quantitatively measure rebar corrosion rates. To examine the impact of the cover thickness, the experiment variables were set at cover thicknesses of 10, 20, and 30 mm and rebar corrosion ratios of 0%, 1%, 3%, 5%, 7%, and 10%. Each variable was tested and a total of 60 specimens were created (i.e., 54 specimens and 6 preliminary specimens). In this study, corrosion was applied using an electrochemical corrosion method that employs Faraday’s law, i.e., the law of conservation of electric charge. The test results of height, width, and area of temperature distribution curve were analyzed, the height of temperature distribution curve was increased as the heating time was grown. In addition, the area of temperature distribution was varied dependent upon the corrosion rate and cover thickness.",14,article,True,https://doi.org/10.3390/app9214700,https://openalex.org/W2984521699,"Tasks: deterioration, defects"
Damage detection of artificial corroded rebars and quantification using non-destructive methods on reinforced concrete structure,Syahrul Fithry Senin; Roszilah Hamid; J. Ahmad; Mohd Ikmal Fazlan Rosli; Amer Yusuff,2019,10.1088/1742-6596/1349/1/012044,Journal of Physics Conference Series,"Abstract Corrosion of rebars in reinforced concrete structure is a big universal problem created by saline water ingress causing rebar and other metal structural member to corrode. The deterioration of concrete structures due to the harsh environment conditions leads to the deterioration of the reinforced concrete performance structure, and the premature deterioration of the structure before completing due to carbonation or the chloride content of the future services is expected to be the primary concern for engineers and researchers. Progress of corrosion location cannot be visually evaluated until the point when crack or a delamination is appearing. Therefore, in the study, the Ground Penetrating Radar (GPR) is used to investigate the artificial rebar corrosion damage on steel rebars. The methods showed the artificial rebar corrosion damage can be detected and quantified without damaging the surrounding concrete material. GPR showed the potential on detecting rebar corrosion damage on large areas and in a rapid manner.",13,article,True,https://doi.org/10.1088/1742-6596/1349/1/012044,https://openalex.org/W2993342870,"Tasks: defects, moisture"
Effects of Fire on the Strength of Reinforced Concrete Structural Members,Lateef O. Onundi; M. Ben Oumarou; A. M. Alkali,2019,10.12691/ajcea-7-1-1,American journal of civil engineering and architecture,"This multidisciplinary research focuses on the effect of fire on structures due to the Boko Haram insurgency in Maiduguri, Northern Nigeria. It is aimed at giving a further contribution to understand the effect of fire with respect to the local aggregates, quenching methods and proposing an assessment methodology based on a suitable analytical procedure applied to reinforced concrete subjected to sustained fire. Cement, river sand, Bama gravel and water in standard proportion in accordance to BS1881 Part 101 were mixed to produce beams, slabs and cubes of different sizes and cured for 28 days. The samples were burnt in a designed fire simulation furnace using sugarcane bagasse as fuel with varying air velocities for 2 hours. Cooling of samples was carried out using water splashing, CO2 powder fire extinguisher and air cooling methods before the compressive strength tests using a Seidner Compressive Testing Machine and Non-destructive test with Rebound Hammer. The scanning electron microscopy tests were carried out using a Phenom ProX scanning electron microscope for imaging and analysis to physically examine and determine the elemental micro structural redistribution and influence on the tested samples. As the temperature within the experimental set-up reaches 900°C, the temperature around the vicinity of slab, beam or cube reached an average of 500°C. The results of the investigations show that different cooling methods induce varying levels of deteriorating and significant effects on the final internal micro-structures as well as physical, mechanical and thermal characteristics of concrete. Results from the destructive and non-destructive tests show that losses of strength vary from a minimum of 37.73% to a maximum of 86.67 % in the samples investigated. The local aggregates used namely the river sand and the Bama gravel surely influenced the medium grade reinforced concrete behaviour when subjected to fire.",13,article,True,https://doi.org/10.12691/ajcea-7-1-1,https://openalex.org/W2923387692,Tasks: strength
Wave propagation and scattering in reinforced concrete beams,Evelyne El Masri; N.S. Ferguson; Timothy Waters,2019,10.1121/1.5131644,The Journal of the Acoustical Society of America,"Steel reinforcement bars (rebars) are vital to the strength of reinforced concrete (RC) structures, but can become damaged due to corrosion. Such damage is generally invisible and non-destructive testing methods are needed to assess their integrity. Guided wave methods are popular because they are capable of detecting damage using sensors placed remotely from the damage site, which is often unknown. This paper predicts free wave propagation in RC beams from which the concept of a guided wave based damage detection method emerges. The wave solutions are obtained using the wave finite element framework where a short section of a beam's cross section is modeled in conventional finite element (FE) and periodic boundary conditions are subsequently applied. Reinforcement elements are used in the FE model of the cross section as a neat and efficient means of coupling the concrete to the rebars and imposing prestress. The results show that prestress, important for static behavior, has a negligible effect on wave dispersion. A RC beam with a damaged section is modeled by coupling three waveguides, the center waveguide being identical to the outer ones except for a thickness loss in one rebar. Only small differences in cut-on frequencies are observed between the damaged and undamaged sections. However, these small differences give rise to strong reflection of some waves at frequencies close to cut-on. Below cut-on, most incident power is transmitted but experiences wave mode conversion, whereas above cut-on most power is transmitted to the same wave type. These observations form the basis for ongoing work to develop a damage detection technique premised on wave reflection near cut-on.",13,article,False,https://doi.org/10.1121/1.5131644,https://openalex.org/W2984583714,Tasks: defects
Fatigue Life of RC Bridge Decks Affected by Non-Uniformly Dispersed Stagnant Water,Eissa Fathalla; Yasushi Tanaka; Koichi Maekawa,2019,10.3390/app9030607,Applied Sciences,"Stagnant water on reinforced concrete (RC) decks reduces their life significantly compared to the case of dry states. Fully submerged states have been investigated as the most severe case, which is however rarely experienced in reality. Currently, it is possible to simulate concrete–water interactions for lifetime prediction of RC decks. In this study, fatigue lifetime is systematically computed for various locations of stagnant water at the upper layer of RC decks. It is found that the patterns of wet and dry areas have a great influence on the remaining fatigue life even though the same magnitude of cracking develops. Then, a hazard map for the wetting locations with regard to the remaining fatigue life is presented based on the systematically arranged simulation. Finally, a nonlinear correlation is introduced for fatigue life prediction based upon site inspected wetting locations, which can be detected by non-destructive testing technology.",12,article,True,https://doi.org/10.3390/app9030607,https://openalex.org/W2913272558,Tasks: moisture
Proposal of Laser-Induced Ultrasonic Guided Wave for Corrosion Detection of Reinforced Concrete Structures in Fukushima Daiichi Nuclear Power Plant Decommissioning Site,Akinori Furusawa; Yusuke Takenaka; Akihiko Nishimura,2019,10.3390/app9173544,Applied Sciences,"Remote-controlled, non-destructive testing is necessary to detect corrosion of the reinforced concrete structures at the Fukushima Daiichi Nuclear Power Plant (NPP) de-commissioning site. This work aims to demonstrate that laser-induced ultrasonic guided wave technology can be applied to achieve this task. Hence, accelerated electrolytic corrosion is performed on a reinforced concrete specimen fabricated by embedding a steel rod into mortar. Waveforms of the laser-induced ultrasonic guided wave on the rod are measured with a previously employed piezoelectric transducer (PZT) probe, for each fixed corrosion time. Based on the results of Fourier and wavelet transforms of the waveforms, issues concerning the detection and extent of rebar corrosion are discussed. It is exhibited that the changes in bonding strength due to corrosion are distinguishable in the frequency domain of the ultrasonic signal.",10,article,True,https://doi.org/10.3390/app9173544,https://openalex.org/W2970452436,Tasks: deterioration
